Run,Chamber,Light_Level,Light_Value,Date,Start.time,Stop.time,Light_Percent
1,15,0,0,20260211,18:40,18:54,
1,15,1,27,20260211,18:55,19:07,
1,15,2,60,20260211,19:08,19:20,
1,15,3,110,20260211,19:21,19:33,
1,15,4,175,20260211,19:34,19:46,
1,15,5,345,20260211,19:46,19:58,
1,15,6,508,20260211,19:59,20:14,
1,15,7,610,20260211,20:15,20:26,
1,15,8,825,20260211,20:32,20:43,
1,15,9,1010,20260211,20:44,20:56,
1,15,10,1107,20260211,20:57,21:09,
1,15,11,1214,20260211,21:09,21:23,
1,12,0,0,20260211,18:40,18:54,
1,12,1,27,20260211,18:55,19:07,
1,12,2,60,20260211,19:08,19:20,
1,12,3,110,20260211,19:21,19:33,
1,12,4,175,20260211,19:34,19:46,
1,12,5,345,20260211,19:46,19:58,
1,12,6,508,20260211,19:59,20:14,
1,12,7,610,20260211,20:15,20:26,
1,12,8,825,20260211,20:32,20:43,
1,12,9,1010,20260211,20:44,20:56,
1,12,10,1107,20260211,20:57,21:09,
1,12,11,1214,20260211,21:09,21:23,
1,4,0,0,20260211,18:40,18:54,
1,4,1,27,20260211,18:55,19:07,
1,4,2,60,20260211,19:08,19:20,
1,4,3,110,20260211,19:21,19:33,
1,4,4,175,20260211,19:34,19:46,
1,4,5,345,20260211,19:46,19:58,
1,4,6,508,20260211,19:59,20:14,
1,4,7,610,20260211,20:15,20:26,
1,4,8,825,20260211,20:32,20:43,
1,4,9,1010,20260211,20:44,20:56,
1,4,10,1107,20260211,20:57,21:09,
1,4,11,1214,20260211,21:09,21:23,
1,16,0,0,20260211,18:40,18:54,
1,16,1,27,20260211,18:55,19:07,
1,16,2,60,20260211,19:08,19:20,
1,16,3,110,20260211,19:21,19:33,
1,16,4,175,20260211,19:34,19:46,
1,16,5,345,20260211,19:46,19:58,
1,16,6,508,20260211,19:59,20:14,
1,16,7,610,20260211,20:15,20:26,
1,16,8,825,20260211,20:32,20:43,
1,16,9,1010,20260211,20:44,20:56,
1,16,10,1107,20260211,20:57,21:09,
1,16,11,1214,20260211,21:09,21:23,
1,9,0,0,20260211,18:40,18:54,
1,9,1,27,20260211,18:55,19:07,
1,9,2,60,20260211,19:08,19:20,
1,9,3,110,20260211,19:21,19:33,
1,9,4,175,20260211,19:34,19:46,
1,9,5,345,20260211,19:46,19:58,
1,9,6,508,20260211,19:59,20:14,
1,9,7,610,20260211,20:15,20:26,
1,9,8,825,20260211,20:32,20:43,
1,9,9,1010,20260211,20:44,20:56,
1,9,10,1107,20260211,20:57,21:09,
1,9,11,1214,20260211,21:09,21:23,
1,10,0,0,20260211,18:40,18:54,
1,10,1,27,20260211,18:55,19:07,
1,10,2,60,20260211,19:08,19:20,
1,10,3,110,20260211,19:21,19:33,
1,10,4,175,20260211,19:34,19:46,
1,10,5,345,20260211,19:46,19:58,
1,10,6,508,20260211,19:59,20:14,
1,10,7,610,20260211,20:15,20:26,
1,10,8,825,20260211,20:32,20:43,
1,10,9,1010,20260211,20:44,20:56,
1,10,10,1107,20260211,20:57,21:09,
1,10,11,1214,20260211,21:09,21:23,
1,8,0,0,20260211,18:40,18:54,
1,8,1,27,20260211,18:55,19:07,
1,8,2,60,20260211,19:08,19:20,
1,8,3,110,20260211,19:21,19:33,
1,8,4,175,20260211,19:34,19:46,
1,8,5,345,20260211,19:46,19:58,
1,8,6,508,20260211,19:59,20:14,
1,8,7,610,20260211,20:15,20:26,
1,8,8,825,20260211,20:32,20:43,
1,8,9,1010,20260211,20:44,20:56,
1,8,10,1107,20260211,20:57,21:09,
1,8,11,1214,20260211,21:09,21:23,
1,13,0,0,20260211,18:40,18:54,
1,13,1,27,20260211,18:55,19:07,
1,13,2,60,20260211,19:08,19:20,
1,13,3,110,20260211,19:21,19:33,
1,13,4,175,20260211,19:34,19:46,
1,13,5,345,20260211,19:46,19:58,
1,13,6,508,20260211,19:59,20:14,
1,13,7,610,20260211,20:15,20:26,
1,13,8,825,20260211,20:32,20:43,
1,13,9,1010,20260211,20:44,20:56,
1,13,10,1107,20260211,20:57,21:09,
1,13,10,1214,20260211,21:09,21:23,