Date,Site,colony_id,Species,Chamber,Sensor,Run,Temp.Cat,Chamber.Vol.end.ml,Chamber.Vol.start.ml,FIRe.File.No,Photo.number,Note
20261202,Samara,POC_1,Pocillopora,1,1,1,24,259,270,009,9444-9447,"At 11:04 the PAM meter stopped working, it got fixed at 11:11, it affected all of the chambers"
20261202,Samara,POC_2,Pocillopora,2,2,1,24,262,268,008,9448-9451,
20261202,Samara,POC_3,Pocillopora,3,3,1,24,266,271,007,9452-9455,
20261202,Samara,POC_4,Pocillopora,4,4,1,24,265,271,006,9456-9459,
20261202,Samara,POC_5,Pocillopora,5,5,1,24,256,271,005,9460-9463,
20261202,Samara,POC_6,Pocillopora,6,6,1,24,260,266,004,9464-9467,
20261202,Samara,POC_7,Pocillopora,7,7,1,24,260,271,003,9468-9471,
20261202,Samara,bk1,blank,8,8,1,24,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,1,24,250,261,016,9478-9479,Delete measurements from 10:45-10:48 the stirrer wasn't working properly 
20261202,Samara,bk2,blank,10,a4,1,24,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,1,24,247,269,011,9477,Delete measurements from 10:45-10:59 the stirrer wasn't working properly
20261202,Samara,POR_12,Porites,12,a1,1,24,246,271,010,9480-9481,
20261202,Samara,POR_13,Porites,13,b3,1,24,239,265,013,9482-9483,
20261202,Samara,POR_14,Porites,14,a2,1,24,256,267,012,9484-9487,Delete measurements from 10:45-10:58 the stirrer wasn't working properly
20261202,Samara,POR_15,Porites,15,b4,1,24,250,264,014,9488-9490,
20261202,Samara,POR_16,Porites,16,b1,1,24,239,266,015,9491-9493,
20261202,Samara,POC_1,Pocillopora,1,1,2,26,259,270,018,9495-9496,
20261202,Samara,POC_2,Pocillopora,2,2,2,26,262,268,022,9502-9503,
20261202,Samara,POC_3,Pocillopora,3,3,2,26,266,271,021,9500-9501,
20261202,Samara,POC_4,Pocillopora,4,4,2,26,265,271,020,9504-9505,
20261202,Samara,POC_5,Pocillopora,5,5,2,26,256,271,023,9506-9507,
20261202,Samara,POC_6,Pocillopora,6,6,2,26,260,266,019,9508-9509,
20261202,Samara,POC_7,Pocillopora,7,7,2,26,260,271,017,9510-9511,
20261202,Samara,bk1,blank,8,8,2,26,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,2,26,250,261,026,9512-9513,
20261202,Samara,bk2,blank,10,a4,2,26,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,2,26,247,269,028,9515-9517,
20261202,Samara,POR_12,Porites,12,a1,2,26,246,271,032,9518-9519,
20261202,Samara,POR_13,Porites,13,b3,2,26,239,265,024,9520-9522,
20261202,Samara,POR_14,Porites,14,a2,2,26,256,267,031,9530-9531,"Coral was upsidedown, fire file 032 was deleted; PHOTOS: ss 1/200 f5 iso 1250, flash up"
20261202,Samara,POR_15,Porites,15,b4,2,26,250,264,027,9538-9539,
20261202,Samara,POR_16,Porites,16,b1,2,26,239,266,025,9532-9533,
20261202,Samara,POC_1,Pocillopora,1,1,3,28,259,270,040,9581-9582,
20261202,Samara,POC_2,Pocillopora,2,2,3,28,262,268,039,9576-9577,
20261202,Samara,POC_3,Pocillopora,3,3,3,28,266,271,045,9570-9571,
20261202,Samara,POC_4,Pocillopora,4,4,3,28,265,271,038,9540-9541,
20261202,Samara,POC_5,Pocillopora,5,5,3,28,256,271,035,9548-9549,
20261202,Samara,POC_6,Pocillopora,6,6,3,28,260,266,033,9551-9552,
20261202,Samara,POC_7,Pocillopora,7,7,3,28,260,271,047,9567-9568,
20261202,Samara,bk1,blank,8,8,3,28,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,3,28,250,261,041,9572-9573,
20261202,Samara,bk2,blank,10,a4,3,28,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,3,28,247,269,044,9544-9545,
20261202,Samara,POR_12,Porites,12,a1,3,28,246,271,037,9542-9543,
20261202,Samara,POR_13,Porites,13,b3,3,28,239,265,046,9560-9561,
20261202,Samara,POR_14,Porites,14,a2,3,28,256,267,036,9565-9566,
20261202,Samara,POR_15,Porites,15,b4,3,28,250,264,042,9574-9575,
20261202,Samara,POR_16,Porites,16,b1,3,28,239,266,043,9579-9580,
20261202,Samara,POC_1,Pocillopora,1,1,4,30,259,270,057,9583-9584,
20261202,Samara,POC_2,Pocillopora,2,2,4,30,262,268,055,9585-9586,
20261202,Samara,POC_3,Pocillopora,3,3,4,30,266,271,052,9587-9588,
20261202,Samara,POC_4,Pocillopora,4,4,4,30,265,271,061,9589-9590,
20261202,Samara,POC_5,Pocillopora,5,5,4,30,256,271,048,9591-9592,
20261202,Samara,POC_6,Pocillopora,6,6,4,30,260,266,049,9593-9594,
20261202,Samara,POC_7,Pocillopora,7,7,4,30,260,271,050,9595-9596,
20261202,Samara,bk1,blank,8,8,4,30,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,4,30,250,261,058,9597-9598,
20261202,Samara,bk2,blank,10,a4,4,30,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,4,30,247,269,054,9599-9600,
20261202,Samara,POR_12,Porites,12,a1,4,30,246,271,056,9601-9602,
20261202,Samara,POR_13,Porites,13,b3,4,30,239,265,060,9603-9604,
20261202,Samara,POR_14,Porites,14,a2,4,30,256,267,053,9605-9606,
20261202,Samara,POR_15,Porites,15,b4,4,30,250,264,059,9607-9608,
20261202,Samara,POR_16,Porites,16,b1,4,30,239,266,051,9609-9610,
20261202,Samara,POC_1,Pocillopora,1,1,5,32,259,270,070,9611-9612,
20261202,Samara,POC_2,Pocillopora,2,2,5,32,262,268,069,9613-9614,
20261202,Samara,POC_3,Pocillopora,3,3,5,32,266,271,066,9615-9616,
20261202,Samara,POC_4,Pocillopora,4,4,5,32,265,271,062,9617-9618,
20261202,Samara,POC_5,Pocillopora,5,5,5,32,256,271,063,9619-9621,
20261202,Samara,POC_6,Pocillopora,6,6,5,32,260,266,064,9622-9623,
20261202,Samara,POC_7,Pocillopora,7,7,5,32,260,271,065,9624-9625,
20261202,Samara,bk1,blank,8,8,5,32,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,5,32,250,261,071,9626-9628,
20261202,Samara,bk2,blank,10,a4,5,32,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,5,32,247,269,072,9629-9631,
20261202,Samara,POR_12,Porites,12,a1,5,32,246,271,068,9632-9634,
20261202,Samara,POR_13,Porites,13,b3,5,32,239,265,073,9635-9637,
20261202,Samara,POR_14,Porites,14,a2,5,32,256,267,067,9638-9641,
20261202,Samara,POR_15,Porites,15,b4,5,32,250,264,074,9642-9643,
20261202,Samara,POR_16,Porites,16,b1,5,32,239,266,075,,
20261202,Samara,POC_1,Pocillopora,1,1,6,34,259,270,082,9647-9649,
20261202,Samara,POC_2,Pocillopora,2,2,6,34,262,268,081,9650-9652,
20261202,Samara,POC_3,Pocillopora,3,3,6,34,266,271,080,9653-9655,
20261202,Samara,POC_4,Pocillopora,4,4,6,34,265,271,077,9656-9657,
20261202,Samara,POC_5,Pocillopora,5,5,6,34,256,271,078,9658-9659,
20261202,Samara,POC_6,Pocillopora,6,6,6,34,260,266,076,9660-9661,
20261202,Samara,POC_7,Pocillopora,7,7,6,34,260,271,079,9662-9663,
20261202,Samara,bk1,blank,8,8,6,34,272,272,,,
20261202,Samara,POR_17,Porites,9,b2,6,34,250,261,090,9694-9666,
20261202,Samara,bk2,blank,10,a4,6,34,272,272,,,
20261202,Samara,POR_11,Porites,11,a3,6,34,247,269,084,9667-9668,
20261202,Samara,POR_12,Porites,12,a1,6,34,246,271,089,9669-9674,
20261202,Samara,POR_13,Porites,13,b3,6,34,239,265,083,9675-9677,
20261202,Samara,POR_14,Porites,14,a2,6,34,256,267,088,9678-9621,
20261202,Samara,POR_15,Porites,15,b4,6,34,250,264,086,9682-9684,
20261202,Samara,POR_16,Porites,16,b1,6,34,239,266,087,9685-9687,
20261302,Samara,POC_8,Pocillopora,1,1,7,24,265,270,01,9688-9890,
20261302,Samara,POC_9,Pocillopora,2,2,7,24,268,268,06,9691-9692,
20261302,Samara,POC_10,Pocillopora,3,3,7,24,269,271,04,9693-9694,
20261302,Samara,POR_18,Porites,11,a1,7,24,238,269,05,9695-9696,
20261302,Samara,POR_19,Porites,12,a2,7,24,264,271,03,9697-9698,
20261302,Samara,POR_20,Porites,13,a3,7,24,248,265,02,9699-9700,
20261302,Samara,bk3,blank,8,4,7,24,272,272,,,
20261302,Samara,bk4,blank,10,a4,7,24,272,272,,,
20261302,Samara,POC_8,Pocillopora,1,1,8,26,265,270,007,9701-9702,
20261302,Samara,POC_9,Pocillopora,2,2,8,26,268,268,008,9703-9704,
20261302,Samara,POC_10,Pocillopora,3,3,8,26,269,271,009,9705-9706,
20261302,Samara,POR_18,Porites,11,a1,8,26,238,269,010,9707-9708,
20261302,Samara,POR_19,Porites,12,a2,8,26,264,271,011,9709-9710,
20261302,Samara,POR_20,Porites,13,a3,8,26,248,265,012,9711-9712,
20261302,Samara,bk3,blank,8,4,8,26,272,272,,,
20261302,Samara,bk4,blank,10,a4,8,26,272,272,,,
20261302,Samara,POC_8,Pocillopora,1,1,9,28,265,270,013,9713-9714,
20261302,Samara,POC_9,Pocillopora,2,2,9,28,268,268,014,9715-9716,
20261302,Samara,POC_10,Pocillopora,3,3,9,28,269,271,015,9717-9718,
20261302,Samara,POR_18,Porites,11,a1,9,28,238,269,016,9719-9720,
20261302,Samara,POR_19,Porites,12,a2,9,28,264,271,017,9721-9722,
20261302,Samara,POR_20,Porites,13,a3,9,28,248,265,018,9723-9724,
20261302,Samara,bk3,blank,8,4,9,28,272,272,,,
20261302,Samara,bk4,blank,10,a4,9,28,272,272,,,
20261302,Samara,POC_8,Pocillopora,1,1,10,30,265,270,021,9725-9726,
20261302,Samara,POC_9,Pocillopora,2,2,10,30,268,268,020,9727-9728,
20261302,Samara,POC_10,Pocillopora,3,3,10,30,269,271,019,9730-9731,
20261302,Samara,POR_18,Porites,11,a1,10,30,238,269,022,9732-9733,
20261302,Samara,POR_19,Porites,12,a2,10,30,264,271,023,9734-9735,
20261302,Samara,POR_20,Porites,13,a3,10,30,248,265,024,9736-9738,
20261302,Samara,bk3,blank,8,4,10,30,272,272,,,
20261302,Samara,bk4,blank,10,a4,10,30,272,272,,,
20261302,Samara,POC_8,Pocillopora,1,1,11,32,265,270,027,9739-9740,
20261302,Samara,POC_9,Pocillopora,2,2,11,32,268,268,025,9742-9743,
20261302,Samara,POC_10,Pocillopora,3,3,11,32,269,271,026,9744-9745,
20261302,Samara,POR_18,Porites,11,a1,11,32,238,269,028,9746-9747,
20261302,Samara,POR_19,Porites,12,a2,11,32,264,271,029,9748-9749,
20261302,Samara,POR_20,Porites,13,a3,11,32,248,265,030,9750-9751,
20261302,Samara,bk3,blank,8,4,11,32,272,272,,,
20261302,Samara,bk4,blank,10,a4,11,32,272,272,,,
20261302,Samara,POC_8,Pocillopora,1,1,12,34,265,270,032,9752-9753,
20261302,Samara,POC_9,Pocillopora,2,2,12,34,268,268,033,9754-9755,
20261302,Samara,POC_10,Pocillopora,3,3,12,34,269,271,031,9756-9757,
20261302,Samara,POR_18,Porites,11,a1,12,34,238,269,034,9758-9759,
20261302,Samara,POR_19,Porites,12,a2,12,34,264,271,035,9760-9762,
20261302,Samara,POR_20,Porites,13,a3,12,34,248,265,036,9763-9764,
20261302,Samara,bk3,blank,8,4,12,34,272,272,,,
20261302,Samara,bk4,blank,10,a4,12,34,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,13,22,250,267,004,9776-9777,
20261602,Papagayo,POR_35,Porites,15,b2,13,22,254,264,003,9778-9779,
20261602,Papagayo,POR_36,Porites,16,a3,13,22,250,266,005,9780-9781,
20261602,Papagayo,POR_38,Porites,13,b3,13,22,257,265,001,9782-9783,
20261602,Papagayo,POR_39,Porites,12,b4,13,22,263,271,002,9784-9785,
20261602,Papagayo,POC_24,Poccilopora,4,2,13,22,268,265,008,9786-9789,"ss1-200,f5/6,iso2500"
20261602,Papagayo,POC_25,Poccilopora,5,5,13,22,264,256,009,9790-9791,
20261602,Papagayo,POC_26,Poccilopora,6,6,13,22,262,260,006,9792-9793,
20261602,Papagayo,POC_27,Poccilopora,7,7,13,22,266,260,007,9794-9795,
20261602,Papagayo,POC_28,Poccilopora,9,1,13,22,253,261,010,9796-9797,
20261602,Papagayo,bk6,Blank,8,8,13,22,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,13,22,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,14,24,250,267,013,9814-9815,
20261602,Papagayo,POR_35,Porites,15,b2,14,24,254,264,014,9816-9819,
20261602,Papagayo,POR_36,Porites,16,a3,14,24,250,266,015,9820-9822,
20261602,Papagayo,POR_38,Porites,13,b3,14,24,257,265,012,9812-9813,
20261602,Papagayo,POR_39,Porites,12,b4,14,24,263,271,011,9810-9811,
20261602,Papagayo,POC_24,Poccilopora,4,2,14,24,268,265,016,9798-9799,
20261602,Papagayo,POC_25,Poccilopora,5,5,14,24,264,256,020,9800-9801,
20261602,Papagayo,POC_26,Poccilopora,6,6,14,24,262,260,019,9802-9803,
20261602,Papagayo,POC_27,Poccilopora,7,7,14,24,266,260,017,9804-9806,
20261602,Papagayo,POC_28,Poccilopora,9,1,14,24,253,261,018,9807-9809,
20261602,Papagayo,bk6,Blank,8,8,14,24,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,14,24,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,15,26,250,267,022,9842-9843,
20261602,Papagayo,POR_35,Porites,15,b2,15,26,254,264,021,9844-9845,
20261602,Papagayo,POR_36,Porites,16,a3,15,26,250,266,025,9840-9841,
20261602,Papagayo,POR_38,Porites,13,b3,15,26,257,265,023,9836-9837,
20261602,Papagayo,POR_39,Porites,12,b4,15,26,263,271,024,9838-9839,
20261602,Papagayo,POC_24,Poccilopora,4,2,15,26,268,265,027,9823-9826,
20261602,Papagayo,POC_25,Poccilopora,5,5,15,26,264,256,029,9827-9829,
20261602,Papagayo,POC_26,Poccilopora,6,6,15,26,262,260,028,9830-9831,
20261602,Papagayo,POC_27,Poccilopora,7,7,15,26,266,260,030,9832-9833,
20261602,Papagayo,POC_28,Poccilopora,9,1,15,26,253,261,026,9834-9835,
20261602,Papagayo,bk6,Blank,8,8,15,26,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,15,26,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,16,28,250,267,035,9863-9864,
20261602,Papagayo,POR_35,Porites,15,b2,16,28,254,264,034,9865-9866,
20261602,Papagayo,POR_36,Porites,16,a3,16,28,250,266,033,9867-9868,
20261602,Papagayo,POR_38,Porites,13,b3,16,28,257,265,031,9861-9862,
20261602,Papagayo,POR_39,Porites,12,b4,16,28,263,271,032,9859-9860,
20261602,Papagayo,POC_24,Poccilopora,4,2,16,28,268,265,036,9846-9847,
20261602,Papagayo,POC_25,Poccilopora,5,5,16,28,264,256,037,9848-9850,
20261602,Papagayo,POC_26,Poccilopora,6,6,16,28,262,260,038,9851-9852,
20261602,Papagayo,POC_27,Poccilopora,7,7,16,28,266,260,040,9853-9854,
20261602,Papagayo,POC_28,Poccilopora,9,1,16,28,253,261,039,9855-9858,
20261602,Papagayo,bk6,Blank,8,8,16,28,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,16,28,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,17,30,250,267,043,9886-9888,
20261602,Papagayo,POR_35,Porites,15,b2,17,30,254,264,042,9889-9890,
20261602,Papagayo,POR_36,Porites,16,a3,17,30,250,266,044,9884-9885,
20261602,Papagayo,POR_38,Porites,13,b3,17,30,257,265,041,9891-9894,
20261602,Papagayo,POR_39,Porites,12,b4,17,30,263,271,045,9882-9883,
20261602,Papagayo,POC_24,Poccilopora,4,2,17,30,268,265,047,9869-9870,
20261602,Papagayo,POC_25,Poccilopora,5,5,17,30,264,256,048,9871-9874,
20261602,Papagayo,POC_26,Poccilopora,6,6,17,30,262,260,046,9875-9877,
20261602,Papagayo,POC_27,Poccilopora,7,7,17,30,266,260,050,9880-9881,
20261602,Papagayo,POC_28,Poccilopora,9,1,17,30,253,261,049,9878-9879,
20261602,Papagayo,bk6,Blank,8,8,17,30,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,17,30,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,18,32,250,267,052,9910-9911,
20261602,Papagayo,POR_35,Porites,15,b2,18,32,254,264,053,9912-9913,
20261602,Papagayo,POR_36,Porites,16,a3,18,32,250,266,054,9914-9915,Stirrer didn't work start data from 12:56
20261602,Papagayo,POR_38,Porites,13,b3,18,32,257,265,051,9908-9909,
20261602,Papagayo,POR_39,Porites,12,b4,18,32,263,271,055,9906-9907,
20261602,Papagayo,POC_24,Poccilopora,4,2,18,32,268,265,058,9895-9896,
20261602,Papagayo,POC_25,Poccilopora,5,5,18,32,264,256,060,9897-9898,
20261602,Papagayo,POC_26,Poccilopora,6,6,18,32,262,260,057,9899-9900,
20261602,Papagayo,POC_27,Poccilopora,7,7,18,32,266,260,059,9901-9902,
20261602,Papagayo,POC_28,Poccilopora,9,1,18,32,253,261,056,9903-9905,
20261602,Papagayo,bk6,Blank,8,8,18,32,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,18,32,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,19,34,250,267,061,9935-9937,"At 14:11 the light went off, everything kept working. It came back at 14:13"
20261602,Papagayo,POR_35,Porites,15,b2,19,34,254,264,063,9928-9929,
20261602,Papagayo,POR_36,Porites,16,a3,19,34,250,266,062,9930-9932,
20261602,Papagayo,POR_38,Porites,13,b3,19,34,257,265,065,9933-9934,
20261602,Papagayo,POR_39,Porites,12,b4,19,34,263,271,064,9938-9939,
20261602,Papagayo,POC_24,Poccilopora,4,2,19,34,268,265,069,9924-9925,
20261602,Papagayo,POC_25,Poccilopora,5,5,19,34,264,256,066,9916-9918,
20261602,Papagayo,POC_26,Poccilopora,6,6,19,34,262,260,068,9922-9923,
20261602,Papagayo,POC_27,Poccilopora,7,7,19,34,266,260,070,9926-9927,
20261602,Papagayo,POC_28,Poccilopora,9,1,19,34,253,261,067,9919-9920,
20261602,Papagayo,bk6,Blank,8,8,19,34,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,19,34,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,20,22,261,271,8,9945-9946,
20261702,Papagayo,POC_21,Poccilopora,1,1,20,22,262,270,9,9941-9942,
20261702,Papagayo,POC_29,Poccilopora,9,7,20,22,254,261,7,9949-9950,
20261702,Papagayo,POC_22,Poccilopora,2,2,20,22,260,268,6,9943-9944,
20261702,Papagayo,POC_30,Poccilopora,4,6,20,22,264,271,10,9947-9948,
20261702,Papagayo,POR_32,Porites,12,b2,20,22,266,271,3,9960-9961,
20261702,Papagayo,POR_33,Porites,13,b3,20,22,258,265,1,9962-9963,
20261702,Papagayo,POR_37,Porites,7,a1,20,22,265,271,5,9953-9954,Litophaga was removed after this run
20261702,Papagayo,POC_31,Porites,11,b1,20,22,263,269,4,9955-9959,
20261702,Papagayo,POC_40,Porites,5,b4,20,22,262,270,2,9951-9952,
20261702,Papagayo,bk8,Blank,8,8,20,22,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,20,22,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,21,25,261,271,16,9968-9969,
20261702,Papagayo,POC_21,Poccilopora,1,1,21,25,262,270,18,9964-9965,
20261702,Papagayo,POC_29,Poccilopora,9,7,21,25,254,261,17,9974-9975,
20261702,Papagayo,POC_22,Poccilopora,2,2,21,25,260,268,19,9966-9967,
20261702,Papagayo,POC_30,Poccilopora,4,6,21,25,264,271,20,9970-9971,
20261702,Papagayo,POR_32,Porites,12,b2,21,25,266,271,13,9980-9981,
20261702,Papagayo,POR_33,Porites,13,b3,21,25,258,265,11,9982-9983,
20261702,Papagayo,POR_37,Porites,7,a1,21,25,265,271,14,9976-9977,
20261702,Papagayo,POC_31,Porites,11,b1,21,25,263,269,15,9978-9979,
20261702,Papagayo,POC_40,Porites,5,b4,21,25,262,270,12,9972-9973,
20261702,Papagayo,bk8,Blank,8,8,21,25,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,21,25,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,22,26,261,271,29,9989-9991,
20261702,Papagayo,POC_21,Poccilopora,1,1,22,26,262,270,30,9985-9986,
20261702,Papagayo,POC_29,Poccilopora,9,7,22,26,254,261,28,9994-9995,
20261702,Papagayo,POC_22,Poccilopora,2,2,22,26,260,268,27,9987-9988,
20261702,Papagayo,POC_30,Poccilopora,4,6,22,26,264,271,26,9992-9993,
20261702,Papagayo,POR_32,Porites,12,b2,22,26,266,271,24,0003-0004,
20261702,Papagayo,POR_33,Porites,13,b3,22,26,258,265,22,0005-0006,
20261702,Papagayo,POR_37,Porites,7,a1,22,26,265,271,21,9998-9999,
20261702,Papagayo,POC_31,Porites,11,b1,22,26,263,269,25,0001-0002,
20261702,Papagayo,POC_40,Porites,5,b4,22,26,262,270,23,9996-9997,
20261702,Papagayo,bk8,Blank,8,8,22,26,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,22,26,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,23,28,261,271,40,0011-0012,
20261702,Papagayo,POC_21,Poccilopora,1,1,23,28,262,270,39,0007-0008,
20261702,Papagayo,POC_29,Poccilopora,9,7,23,28,254,261,34,0015-0016,
20261702,Papagayo,POC_22,Poccilopora,2,2,23,28,260,268,38,0009-0010,
20261702,Papagayo,POC_30,Poccilopora,4,6,23,28,264,271,37,0013-0014,
20261702,Papagayo,POR_32,Porites,12,b2,23,28,266,271,32,0027-0029,
20261702,Papagayo,POR_33,Porites,13,b3,23,28,258,265,31,0023-0024,
20261702,Papagayo,POR_37,Porites,7,a1,23,28,265,271,35,0019-0022,
20261702,Papagayo,POC_31,Porites,11,b1,23,28,263,269,36,0017-0018,
20261702,Papagayo,POC_40,Porites,5,b4,23,28,262,270,33,0025-0026,
20261702,Papagayo,bk8,Blank,8,8,23,28,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,23,28,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,24,30,261,271,49,0034-0035,
20261702,Papagayo,POC_21,Poccilopora,1,1,24,30,262,270,48,0030-0031,
20261702,Papagayo,POC_29,Poccilopora,9,7,24,30,254,261,50,0032-0033,
20261702,Papagayo,POC_22,Poccilopora,2,2,24,30,260,268,45,0040-0041,
20261702,Papagayo,POC_30,Poccilopora,4,6,24,30,264,271,44,0036-0037,
20261702,Papagayo,POR_32,Porites,12,b2,24,30,266,271,41,0044-0045,
20261702,Papagayo,POR_33,Porites,13,b3,24,30,258,265,43,0048-0050,
20261702,Papagayo,POR_37,Porites,7,a1,24,30,265,271,47,0038-0039,
20261702,Papagayo,POC_31,Porites,11,b1,24,30,263,269,42,0046-0047,
20261702,Papagayo,POC_40,Porites,5,b4,24,30,262,270,46,0042-0043,
20261702,Papagayo,bk8,Blank,8,8,24,30,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,24,30,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,25,32,261,271,58,0055-0057,
20261702,Papagayo,POC_21,Poccilopora,1,1,25,32,262,270,60,0051-0052,
20261702,Papagayo,POC_29,Poccilopora,9,7,25,32,254,261,57,0058-0059,
20261702,Papagayo,POC_22,Poccilopora,2,2,25,32,260,268,56,0068-0069,
20261702,Papagayo,POC_30,Poccilopora,4,6,25,32,264,271,59,0053-0054,
20261702,Papagayo,POR_32,Porites,12,b2,25,32,266,271,51,0060-0061,
20261702,Papagayo,POR_33,Porites,13,b3,25,32,258,265,52,0062-0064,
20261702,Papagayo,POR_37,Porites,7,a1,25,32,265,271,54,0072-0073,
20261702,Papagayo,POC_31,Porites,11,b1,25,32,263,269,55,0070-0071,
20261702,Papagayo,POC_40,Porites,5,b4,25,32,262,270,53,0065-0067,
20261702,Papagayo,bk8,Blank,8,8,25,32,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,25,32,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,26,34,261,271,67,0078-0079,
20261702,Papagayo,POC_21,Poccilopora,1,1,26,34,262,270,66,0074-0075,
20261702,Papagayo,POC_29,Poccilopora,9,7,26,34,254,261,70,0082-0083,
20261702,Papagayo,POC_22,Poccilopora,2,2,26,34,260,268,69,0076-0077,
20261702,Papagayo,POC_30,Poccilopora,4,6,26,34,264,271,68,0080-0081,
20261702,Papagayo,POR_32,Porites,12,b2,26,34,266,271,61,0090-0091,
20261702,Papagayo,POR_33,Porites,13,b3,26,34,258,265,62,0092-0093,
20261702,Papagayo,POR_37,Porites,7,a1,26,34,265,271,65,0086-0087,Delete FIRe reading 64
20261702,Papagayo,POC_31,Porites,11,b1,26,34,263,269,71,0084-0085,
20261702,Papagayo,POC_40,Porites,5,b4,26,34,262,270,63,0088-0089,
20261702,Papagayo,bk8,Blank,8,8,26,34,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,26,34,272,272,,,